TaskID,Duration,Priority,Initial_VM
0,2,2,0
1,6,5,1
2,10,1,2
3,3,2,3
4,8,3,4
5,2,1,3
6,2,1,1
7,10,4,4
8,8,1,2
9,8,1,0
10,8,2,3
11,2,5,1
12,10,3,4
13,4,5,3
14,3,4,1
15,5,1,2
16,2,5,4
17,3,4,0
18,10,1,3
19,1,4,1
20,1,3,2
21,3,5,3
22,9,2,4
23,7,3,1
24,7,2,0
25,5,2,3
26,2,3,4
27,2,5,1
28,4,2,2
29,6,2,3
30,2,4,4
31,9,3,1
32,5,1,0
33,7,5,3
34,9,2,2
35,10,5,4
36,2,2,1
37,9,1,3
38,4,1,0
39,5,3,1
40,1,2,2
41,5,2,3
42,4,3,4
43,6,1,3
44,2,5,1
45,5,4,4
46,10,2,2
47,2,5,0
48,8,1,3
49,4,1,1
50,5,5,4
51,5,3,3
52,9,2,1
53,5,1,2
54,9,2,4
55,5,2,0
56,2,1,3
57,3,1,1
58,7,1,2
59,3,3,3
60,3,4,4
61,1,4,1
62,7,3,0
63,6,5,3
64,3,2,4
65,1,3,1
66,2,5,2
67,1,4,3
68,1,2,4
69,5,1,1
