TaskID,Duration,Priority,Initial_VM
0,8,2,0
1,1,3,1
2,2,5,2
3,1,5,3
4,9,5,4
5,3,5,0
6,1,5,1
7,1,4,3
8,10,4,4
9,7,3,2
10,10,3,0
11,5,2,1
12,2,3,3
13,6,1,4
14,1,2,0
15,8,1,1
16,7,2,2
17,9,1,0
18,3,4,3
19,3,1,4
20,2,5,1
21,10,5,0
22,10,4,2
23,1,4,1
24,7,2,3
25,9,3,4
26,6,1,0
27,1,1,1
28,5,2,2
29,10,5,0
30,3,4,3
31,10,1,4
32,8,1,1
33,4,4,0
34,2,2,2
35,6,3,3
36,10,2,4
37,9,2,1
38,5,2,0
39,6,1,0
40,9,5,1
41,6,5,2
42,1,4,3
43,2,5,4
44,5,5,0
45,4,5,1
46,1,4,3
47,3,2,4
48,3,5,2
49,1,3,0
50,3,2,1
51,1,4,3
52,4,5,4
53,7,5,0
54,7,3,1
55,10,3,2
56,4,3,0
57,1,3,3
58,8,2,4
59,8,2,1
60,4,4,0
61,2,1,2
62,10,2,1
63,8,3,3
64,9,4,4
65,8,3,0
66,3,1,1
67,1,2,2
68,4,1,0
69,2,4,3
70,5,5,4
71,1,3,1
72,8,5,0
73,3,3,2
74,3,5,3
75,7,1,4
76,9,3,1
77,1,5,0
78,10,1,0
79,8,5,1
80,3,2,2
81,10,2,3
82,6,3,4
83,4,5,0
84,7,2,1
85,4,1,3
86,3,3,4
87,9,1,2
88,8,2,0
89,4,1,1
90,3,3,3
91,8,4,4
92,5,3,0
93,3,4,1
94,5,2,2
95,2,5,0
96,6,2,3
97,2,2,4
98,1,1,1
99,9,5,0
