TaskID,Duration,Priority,Initial_VM
0,6,2,0
1,3,1,1
2,5,2,2
3,3,3,3
4,4,3,4
5,8,3,0
6,3,2,2
7,6,2,3
8,7,1,4
9,9,2,0
10,5,4,1
11,3,4,2
12,3,3,3
13,3,1,4
14,1,5,0
15,3,1,2
16,9,4,3
17,5,4,4
18,6,5,0
19,6,4,1
20,5,5,2
21,6,3,3
22,9,1,4
23,10,5,0
24,1,1,2
25,2,1,3
26,10,1,4
27,2,4,0
28,7,5,1
29,2,3,2
30,10,5,3
31,4,4,4
32,5,2,0
33,7,4,2
34,4,5,3
35,9,2,4
36,4,4,0
37,6,1,1
38,6,2,2
39,2,2,3
40,3,3,4
41,8,4,0
42,2,3,0
43,9,5,1
44,10,3,2
45,5,4,3
46,9,5,4
47,3,4,0
48,6,4,2
49,4,4,3
50,10,3,4
51,4,2,0
52,9,1,1
53,4,4,2
54,5,1,3
55,8,2,4
56,5,5,0
57,4,4,2
58,6,2,3
59,1,2,4
60,1,4,0
61,6,4,1
62,9,5,2
63,9,4,3
64,5,4,4
65,1,1,0
66,2,2,2
67,6,3,3
68,6,2,4
69,10,1,0
70,9,4,1
71,8,3,2
72,5,4,3
73,7,3,4
74,10,3,0
75,4,5,2
76,7,2,3
77,3,2,4
78,5,1,0
79,9,5,1
